acronym,expansion_a,hits_a,expansion_b,hits_b,similarity,decision
"קצ״א","קו צינור אילת-אשקלון (קצא""א)",21,"חברת קו צינור אילת (קצ""א)",3,0.755,keep
"DNA","DNA (שיר של BTS) משנת 2017",1,"DNA (שיר של קנדריק לאמאר) משנת 2017",1,0.754,merge
"אמ״ל","אין מה להעיר",0,"אין מה לציין",0,0.75,merge
"בכ״מ","בכל מקום",3844,"בכל מקרה",2082,0.75,keep
"ב״מ","בית משפט",3395,"בית מדרש",1348,0.75,keep
"ב״ק","ישראל ב""ק",73,"שרה ב""ק",42,0.75,keep
"דו״צ","ירי דו-צדדי",93,"אימון דו-צדדי",3,0.75,keep
"ד״ת","דין תורה",163,"דעת תורה",108,0.75,keep
"הועה״מ","הועדה המרכזת",2,"הועדה המתמדת",1,0.75,keep
"הועה״מ","הועדה המתמדת",1,"הועדה המסדרת",0,0.75,keep
"יו״ד","האות יו""ד",39,"האות י'",37,0.75,merge
"מהו״ת","מרכז התעצמות ותובנה",2,"מרכז השתלמויות ותנופה",1,0.75,keep
"מהר״ם","רבי משה שיק",5,"רבי משה ממינץ",1,0.75,keep
"נלבע״ה","נ""ע",87,"נלב""ע",26,0.75,keep
"נמ״ר","ניהול מערכות רפואיות",0,"ניהול מרכזים רפואיים",0,0.75,keep
"ע״ע","עיין ערך",86,"עיין עוד",5,0.75,merge
"קא״ם","קורס אימון מבצעי",21,"קורס אימון מתקדם",14,0.75,keep
"ריב״א","רבי יצחק בן אברהם משאנץ",3,"רבי יצחק בן אשר הלוי השני",2,0.75,keep
"רמ״ד","רבי משה די ליאון",10,"רבי משה דוד ואלי",4,0.75,keep
"ר״י","רבי יוסי",730,"רבי יודן",177,0.75,keep
"ר״מ","ר""ם",23,"ה'ר""ם",22,0.75,merge
"ר״נ","ר""ן",238,"ה'ר""ן",21,0.75,merge
